codigo;latitude;longitude;endereco;bairro;origem
"SRT 71";-22.885976;-43.299109;"Rua Cantilda Maciel 53";"Abolição";inalterada
"SRT 72";-22.945543;-43.397488;"Rua Adauto Botelho 279";"Jacarepaguá";inalterada
"SRT 73";-22.90103;-43.315105;"Rua Joaquim Soares 44";"Piedade";inalterada
"SRT 74";-22.867606;-43.351727;"Rua Frei Bento 232";"Osvaldo Cruz";inalterada
"SRT 75";-22.921955;-43.549607;"Rua Desembargador Milton Barcelos 78";"Campo Grande";inalterada
"SRT 76";-22.915622;-43.680408;"Rua Dom Pedro I 450";"Santa Cruz";inalterada
"SRT 77";-22.935219;-43.388946;"Rua Patrícia Pagu Galvão - Bloco 01 Apto 408";"Jacarepaguá";inalterada
"SRT 78";-22.935219;-43.388946;"Rua Patrícia Pagu Galvão - Bloco 02 Apto 507";"Jacarepaguá";inalterada
"SRT 79";-22.935219;-43.388946;"Rua Patrícia Pagu Galvão - Bloco 01 Apto 105";"Jacarepaguá";inalterada
"SRT 80";-22.935219;-43.388946;"Rua Patrícia Pagu Galvão - Bloco 02 Apto 403";"Jacarepaguá";inalterada
"SRT 81";-22.935219;-43.388946;"Rua Patrícia Pagu Galvão - Bloco 02 Apto 404";"Jacarepaguá";inalterada
"SRT 82";-22.935219;-43.388946;"Rua Patrícia Pagu Galvão - Bloco 02 Apto 405";"Jacarepaguá";inalterada
"SRT 83";-22.935219;-43.388946;"Rua Patrícia Pagu Galvão - Bloco 02 Apto 408";"Jacarepaguá";inalterada
"SRT 84";-22.952734;-43.196467;"Rua Humaitá 104 - Apto 704";"Humaitá";inalterada
"SRT 85";-22.884466;-43.467516;"Rua Rangel Pestana 422 - Apto 101";"Bangu";inalterada
"SRT 86";-22.831719;-43.273078;"Rua Montevidéu 1140 - Casa 02";"Penha";inalterada
"SRT 87";-22.908382;-43.291168;"Rua Fábio Luz 386 - Casa 04";"Méier";inalterada
"SRT 88";-22.913358;-43.606734;"Rua Icurana 2";"Cosmos";inalterada
"SRT 89";-22.887358;-43.463399;"Rua Padre Josino Tavares 547";"Bangu";inalterada
"SRT 90";-22.869657;-43.264061;"Rua Magda 198";"Higienópolis";inalterada
"SRT 91";-22.867662;-43.464393;"Rua Capitão Verdier 191";"Bangu";inalterada
"SRT 92";-22.849801;-43.261128;"Rua Felisbelo Freire 159";"Ramos";inalterada
"SRT 93";-22.886303;-43.270211;"Rua Luiz de Brito 50";"Maria da Graça";inalterada
"SRT 94";-22.993792;-43.237982;"Rua Doutor Olinto de Magalhães 31 - Bloco B Apto 201";"Vidigal";inalterada
"SRT 95";-22.921647;-43.241788;"Avenida Araújo Lima - 76";"Vila Isabel";inalterada
"SRT 96";-22.835381;-43.312745;"Rua Maestro Henrique Vogeler 141 - Casa 01";"Vista Alegre";inalterada
"SRT 97";-22.726851;-43.524233;"Rua Monte Pascoal 18";"Cachambi";inalterada
"SRT 99";-22.881993;-43.26756;"Rua Domingo de Magalhães 868";"Maria da Graça";inalterada
"RT TESTE ESCRITÓRIO";-22.999216;-43.34819;"Endereço NOVO fictício (pós 01/09) — teste histórico";"Curicica";inalterada
